sex,age,geo,year,population,id
Females,Total,Italy,1996,29283903,678
Females,Total,Italy,1997,29309590,679
Females,Total,Italy,1998,29332801,680
Females,Total,Italy,1999,29345361,681
Females,Total,Italy,2000,29360536,682
Females,Total,Italy,2001,29384366,683
Females,Total,Italy,2002,29404981,684
Females,Total,Italy,2003,29499330,685
Females,Total,Italy,2004,29708271,686
Females,Total,Italy,2005,29916060,687
Females,Total,Italy,2006,30038703,688
Females,Total,Italy,2007,30155967,689
Females,Total,Italy,2008,30417328,690
Females,Total,Italy,2009,30639337,691
Females,Total,Italy,2010,30787289,692
Females,Total,Italy,2011,30933668,693
Females,Total,Italy,2012,31014838,694
Females,Total,Italy,2013,31083410,695
Females,Total,Italy,2014,31104396,696
Females,Total,Italy,2015,31067182,697
